Species	Lineage.final	Lineage.final.old	Domain
Candidatus Magasanikbacteria bacterium GW2011_GWC2_41_17	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium GW2011_GWC2_42_27	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium GW2011_GWC2_45_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium GW2011_GWD2_43_18	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium GW2011_GWE2_42_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_01_FULL_33_34	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_01_FULL_41_23	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_01_FULL_47_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_01_FULL_50_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_33_17	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_41_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_41_35	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_44_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_45_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_47_14	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_48_18	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_50_9b	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_51_14	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_12_FULL_41_16	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_01_FULL_33_34	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_01_FULL_40_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_01_FULL_43_20b	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_02_FULL_43_22	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_02_FULL_44_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_02_FULL_47_16	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_12_FULL_34_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_12_FULL_43_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_12_FULL_47_9b	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYA1_FULL_40_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYA2_FULL_40_20	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYA2_FULL_44_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYB1_FULL_40_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYB2_FULL_38_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYB2_FULL_40_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYC12_FULL_32_21b	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYC12_FULL_33_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYC2_FULL_39_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYC2_FULL_40_16	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYC2_FULL_42_28	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYD12_FULL_33_17	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYD1_FULL_40_23	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYD2_FULL_36_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYD2_FULL_39_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Magasanikbacteria bacterium RIFOXYD2_FULL_41_14	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Margulisbacteria bacterium GWD2_39_127	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Margulisbacteria bacterium GWE2_39_32	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Margulisbacteria bacterium GWF2_35_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Margulisbacteria bacterium GWF2_38_17	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Methylomirabilis oxyfera	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium CG2_30_41_165	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium CG2_30_45_14	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWA2_39_41	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWC1_45_18	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWC2_37_73	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWC2_37_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWC2_40_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWC2_45_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWD1_36_198	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWD1_37_17	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWD2_36_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWD2_36_198	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWD2_37_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWD2_38_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWE1_35_17	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWE1_36_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWE1_37_24	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWE1_49_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWE2_35_164	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWE2_35_2	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWE2_36_40	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWE2_47_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF1_34_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF1_35_5	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF1_36_4	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF1_36_78	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF1_44_4	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF2_34_56	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF2_35_39	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF2_35_54	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF2_36_839	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF2_37_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF2_37_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium GW2011_GWF2_44_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RBG_13_45_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RBG_19FT_COMBO_42_6	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_01_FULL_54_31	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_01_FULL_55_24	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_02_FULL_40_12b	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_12_FULL_40_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFCSPHIGHO2_12_FULL_54_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFCSPLOWO2_02_FULL_48_19	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFCSPLOWO2_12_FULL_48_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYA12_FULL_35_19	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYA12_FULL_44_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYA1_FULL_44_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYA1_FULL_44_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYA2_FULL_43_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYB12_FULL_35_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYB1_FULL_43_19	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYB1_FULL_44_23	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYC12_FULL_36_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYC1_FULL_44_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYC1_FULL_44_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYD1_FULL_44_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Moranbacteria bacterium RIFOXYD1_FULL_44_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RBG_13_36_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RBG_13_37_56	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RBG_13_38_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RBG_13_42_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_01_FULL_38_55	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_01_FULL_43_31	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_02_38_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_02_FULL_38_75	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_02_FULL_43_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_12_FULL_38_18	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_38_120	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_41_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_43_32	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_43_36	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_02_39_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_02_FULL_38_63	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_12_FULL_39_31	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFOXYB1_FULL_40_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFOXYC1_FULL_40_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nealsonbacteria bacterium RIFOXYD1_FULL_39_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Niyogibacteria bacterium RIFCSPHIGHO2_01_FULL_45_28	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Niyogibacteria bacterium RIFCSPLOWO2_01_FULL_45_48	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Niyogibacteria bacterium RIFCSPLOWO2_02_FULL_45_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Niyogibacteria bacterium RIFCSPLOWO2_12_FULL_41_13	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium CG1_02_31_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium CG1_02_43_90	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium CG1_02_47_685	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium CG2_30_43_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA1_35_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA1_36_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA1_37_20	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA1_40_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA1_43_17	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA1_46_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA2_35_80	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA2_40_97	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA2_40_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA2_41_25	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA2_42_41	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA2_43_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWA2_43_66	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_35_20	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_36_6	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_37_5	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_40_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_40_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_43_19	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_43_20	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_43_7	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_44_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWB1_47_6	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWC1_37_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWC2_35_35	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWC2_35_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWC2_36_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWC2_39_41	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWC2_41_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWC2_42_20	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWD1_44_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWD2_36_14	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWD2_39_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWE1_32_28	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWE1_35_16	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWE1_36_71	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWE2_31_40	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWE2_34_25	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWE2_36_115	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWE2_40_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF1_31_48	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF1_34_20	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF1_36_47	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF1_42_40	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_30_133	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_35_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_35_66	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_36_126	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_36_19	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_40_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_40_31	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_43_24	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GW2011_GWF2_43_8	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium GWB1_40_6	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RBG_16_40_11	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_36_23	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_37_110	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_37_25	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_38_19	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_39_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_39_220	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_39_9	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_40_10	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_40_12	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_40_20	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_40_24b	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_41_71	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_41_91	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_42_15	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_42_16	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_43_16	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_02_40_30	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_02_41_18	bacteria>other unclassified bacteria	bacteria>unclassified bacteria	bacteria
