GenContext.orig	n
HTH->SIG+TM+TM+TM->Toast-rack*->Toast-rack*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM-><-Cob_adeno_trans	1
HTH_20->?->?-><-?||?->?->?->DUF1707-SHOCT-bihelical+Toast-rack*->	1
HTH_20->?->SIG+Toast-rack*->	1
HTH_21+rve->?->?->DUF1707-SHOCT-bihelical+Toast-rack*->	1
HTH_3->?->?->?->?->?->Toast-rack*->	1
HTH_3->?-><-?<-?<-SIG+Toast-rack*<-DUF1700-alpha-helical+TM+TM+TM<-SIG+PADR-HTH	1
HxxxH->?->?-><-PspC*<-TM+TM+TM+TM+TM+TM+TM	1
HxxxH->TM+TM+TM+TM->DAGKIN->?-><-PspA*||Cluster79_2clades->	1
HxxxH->TM+TM+TM+TM->DAGKIN->?-><-PspA*||Cluster79_2clades->?->?->CTP_synth_N+GATase->?->?-><-Mbetalac	1
IG+NIT+EP1+EP1+EP1+EP1+EP1*->	1
Imm68-><-PspC+TM+TM+Toast-rack*	1
ImmLRR+PspA*->?->ImmLRR+PspA*->	1
IONCHANNEL->SIG+TM->?->SIG+TM+TM+TM+TM*->?->SIG+TM+TM+TM+TM+TM->	1
IONCHANNEL->SIG+TM->?->SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->	1
IONCHANNEL->SIG+TM->CheC->?->CheC->SIG+TM+TM+TM+TM+TM*->?->?->?->?->Cluster255_4clades->	1
IONCHANNEL->SIG+TM->SIG+TM+TM+TM+TM+TM*->	1
ISOCOT->ParA-Soj-PloopNTPase->?->LiaI-LiaF-TM+Toast-rack*->	1
ISOCOT->PspC*->?-><-TM<-SIGMA-HTH	1
ISOCOT->TM+TM+PspC*-><-7TMR-HDED	1
ISOCOT->TM+TM+PspC*-><-7TMR-HDED<-7TMR-HDED<-35exo	1
KELCH+EP1+PspA+ANK*->	1
LACI-HTH+PBPI->?->?->SIG+Toast-rack*-><-?<-?<-?<-SIG+TM+BPD_transp_1<-SIG+TM+TM+BPD_transp_1+TM<-?<-LACI-HTH+PBPI	1
LACI-HTH+PBPI->Toast-rack*->SIG+PADR-HTH->	1
Lactamase_B_3-><-ncRNA||?->BACTERIALFRINGE+TM+TM->?->Toast-rack*->?->?->?->SIG+Aminotran_1_2->	1
Lactamase_B_3->SIG+Toast-rack*-><-Sacchrp_dh_NADP	1
LiaI-LiaF-TM->?->?->TraJ-RHH->Toast-rack*->	1
LiaI-LiaF-TM->LiaI-LiaF-TM+Toast-rack*-><-TM+TM+PTR2+TM	1
LiaI-LiaF-TM->PspA-><-?||LiaI-LiaF-TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	1
LiaI-LiaF-TM->PspA->LiaI-LiaF-TM+Toast-rack*->SIG+TM+HAMP+HISKIN-LiaS-like->REC+LYTTR->	1
LiaI-LiaF-TM->PspA->LiaI-LiaF-TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->?-><-Pro_CA	1
LiaI-LiaF-TM->PspA->LiaI-LiaF-TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR-><-TM+TM+PTR2+TM	1
LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->	1
LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->?-><-?<-?<-REC+LYTTR<-EamA+TM+EamA	1
LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR-><-SIG+TM+BPD_transp_1<-SIG+SBP_bac_11	1
LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->Acetyltransf_3->ADH_N+ADH_zinc_N-><-?<-SIG+Acyltransferase	1
LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->MerR-HTH->	1
LiaI-LiaF-TM->PspA->SIG+Toast-rack*->LiaI-LiaF-TM+Toast-rack*->PSE->REC+LYTTR->	1
LiaI-LiaF-TM*->?->?->?->?->Thymidylate-synthase->?->Cluster372_2clades->	1
LiaI-LiaF-TM*->?->?->LiaI-LiaF-TM+Toast-rack*->PSE->REC->	1
LiaI-LiaF-TM*->?->PspC->?->?->REC->	1
LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM->REC->	1
LiaI-LiaF-TM+TM+Toast-rack*->	1
LiaI-LiaF-TM+Toast-rack*->?->HhH-GPD+EndIII_4Fe-2S->	1
LiaI-LiaF-TM+Toast-rack*->?->SIG+TM+TM+TM->REC->?->?->Cluster638_2clades->	1
LiaI-LiaF-TM+Toast-rack*->?->SIG+TM+TM+TM+HISKIN->REC+LYTTR->?->?->Haemolytic->	1
LiaI-LiaF-TM+Toast-rack*-><-?||?-><-REC+LYTTR	1
LiaI-LiaF-TM+Toast-rack*-><-?||SIG+ApbE->	1
LiaI-LiaF-TM+Toast-rack*-><-?<-?||Aldo_ket_red->Aldo_ket_red->	1
LiaI-LiaF-TM+Toast-rack*-><-?<-?||TIMbarrel->TIMbarrel->	1
LiaI-LiaF-TM+Toast-rack*-><-?<-?<-ADH_N+ADH_zinc_N	1
LiaI-LiaF-TM+Toast-rack*-><-?<-?<-Cluster542_3clades	1
LiaI-LiaF-TM+Toast-rack*-><-ABC-ATPase	1
LiaI-LiaF-TM+Toast-rack*-><-ABC-ATPase<-BPD_transp_2<-SIG+ABC_sub_bind	1
LiaI-LiaF-TM+Toast-rack*-><-PSE||BPL_LplA_LipB+Lip_prot_lig_C->REC+NtrC-AAA+FIS-HTH->	1
LiaI-LiaF-TM+Toast-rack*-><-TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	1
LiaI-LiaF-TM+Toast-rack*->EMAP->	1
LiaI-LiaF-TM+Toast-rack*->REC+LYTTR->TetR_N->?->SIG+BLBD->?->?->?-><-?<-?||SIG+PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	1
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM->?->REC-><-Cluster675_2clades	1
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM-><-REC	1
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+HISKIN->?->REC+LYTTR-><-GIDA+GIDA_assoc	1
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+HISKIN->REC+LYTTR-><-AraC_binding+HTH_18	1
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->	1
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->?-><-MTHFR<-Meth_synt_1+Meth_synt_2	1
LPD14+Snf7*->	1
LRP-HTH->?->PspC+LiaI-LiaF-TM*->SIG+TM+TM+Toast-rack->	1
LRP-HTH->?->SIG+TM+TM+Toast-rack->PspC+LiaI-LiaF-TM*->	1
LRP-HTH->?->SIG+TM+TM+Toast-rack->PspC+LiaI-LiaF-TM*->?->?-><-?<-?<-?||RADICAL-SAM->	1
MA->?->SIG+PG-binding+PG-binding->?->PspA*->Classical-AAA->TerB->?-><-?||TM->?->SIG+FAA_hydrolase->	1
MA*-><-?<-?<-DADA-Ligase	1
MA+MA+EP1*->	1
MA+SAM-methylase+SAM-methylase*->	1
MacB_PCD+FtsX->MacB_PCD+FtsX->?->SIG+BLBD->?->SIG+PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	1
MacB_PCD+FtsX+TM+MacB_PCD+FtsX->?->?-><-?<-?||SIGMA-HTH->ZnF+TM+HEAT_2->SIG+Toast-rack*->SIG+Toast-rack*->	1
MacB_PCD+FtsX+TM+MacB_PCD+FtsX->MacB_PCD+FtsX+TM+MacB_PCD+FtsX->MacB_PCD+FtsX+TM+MacB_PCD+FtsX->SIG+Toast-rack*->	1
MacB_PCD+FtsX+TM+MacB_PCD+FtsX->SIG+Toast-rack*->	1
MacB_PCD+FtsX+TM+MacB_PCD+FtsX->SIG+Toast-rack*->ABC-ATPase->	1
MACRODOMAIN-><-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*	1
MACRODOMAIN-><-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM*->	1
MarR-HTH+Toast-rack*->	1
MarR_2-><-?||DUF1707-SHOCT-bihelical+Toast-rack*->	1
MATH+MATH+MATH+EIIBC-GUT-N+EP1*->	1
Mbetalac-><-?<-?<-CTP_synth_N+GATase<-?||PspA*->	1
Mbetalac+Snf7*->	1
MerR-HTH->SIG+TM+TM+TM+ABC-ATPase-><-?<-DUF1700-alpha-helical+Toast-rack*<-SIG+PADR-HTH	1
MerR+MerR_1-><-SIG+Toast-rack*	1
Meth_synt_1+Meth_synt_2->4HBT-><-?<-?||?->?->?->SIG+Toast-rack*->	1
METHYLASE-><-?<-PspC+TM+TM+TM+TM+Toast-rack*<-?||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH-><-?<-?||RNA-Helicase->	1
METHYLASE->PspC*->PSE->LiaI-LiaF-TM+Toast-rack->	1
METHYLASE->PspC*->PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack->	1
METHYLASE->PspC+TM+TM+PspC*->	1
Methyltrans_RNA->?-><-?<-?||adh_short->?->Cluster41_7clades->PspA*->	1
Methyltrans_SAM->?-><-?||?->YceI->NAD_binding_10-><-SIG+Toast-rack*<-?<-SIGMA-HTH||NMN_transporter->	1
Methyltrans_SAM-><-?<-Sugar_tr<-?<-?<-SIG+Toast-rack*<-?<-SIGMA-HTH||?-><-?<-?<-?<-AI-2E_transport	1
MFS_1+TM-><-?<-?||DUF1707-SHOCT-bihelical+Toast-rack*->?->?-><-?||?->?->Amidase->	1
MFS_1+TM-><-?<-PspC+LiaI-LiaF-TM+LiaI-LiaF-TM+TM+Toast-rack*	1
MFS_1+TM-><-?<-REC+LYTTR<-PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like||PspC+TM+TM+TM+TM+Toast-rack*->SIG+TM->	1
MgtE_N+CBS+TM+MgtE->?-><-?<-SIG+Toast-rack*	1
MIP-T3+EP1+EP1*->	1
MIP-T3+TPR*->	1
MMR_HSR1+YchF-GTPase_C-><-DUF2089-HTH<-Toast-rack*<-ZNR+DUF2089-HTH	1
MMR_HSR1+YchF-GTPase_C-><-DUF2089-HTH<-Toast-rack*<-ZNR+DUF2089-HTH<-?<-Aminotran_5	1
MNS+TM+PspA+BetaPropeller*->	1
MODE-HTH+PBPII->?->?-><-PspC+TM+TM+Toast-rack*||PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->REC+LYTTR->	1
MODE-HTH+PBPII->?->PspC*->	1
MODE-HTH+PBPII-><-?||?-><-?||?->?-><-PspC*<-?<-?<-SIG+HAMP+HISKIN<-REC+LuxR-HTH	1
MODE-HTH+PBPII-><-?||?-><-?<-REC+LYTTR||?->Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1->Toast-rack*->	1
MODE-HTH+PBPII-><-?<-SIG+Band_7||DUF1707-SHOCT-bihelical+Toast-rack*->	1
MODE-HTH+PBPII-><-Cluster1026_2clades<-?||?-><-?||?->SIG+ZNR+PspC*->?->Cluster186_3clades->?-><-ABC-ATPase<-SIG+TM+TM+TM+TM<-?<-XIS-HTH+T-OB	1
MODE-HTH+PBPII-><-Pro_isomerase||MgtE_N+CBS+TM+MgtE->?-><-SIG+Toast-rack*<-SIG+Toast-rack*	1
MODE-HTH+PBPII-><-Pro_isomerase||PSE->?-><-SIG+Toast-rack*<-SIG+Toast-rack*<-CarD_CdnL_TRCF	1
MODE-HTH+PBPII-><-PspC*	1
MODE-HTH+PBPII->SIG+PAP2->ABhydrolase-><-PspC+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	1
MODE-HTH+PBPII->tRNA->?-><-PspC*||TM-><-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	1
Molybdop_Fe4S4+Molybdopterin+Molydop_binding->SIG+Toast-rack*-><-MODE-HTH+PBPII||MFS_1+TM-><-GST_N+GST_C<-?<-SIG+Methyltransf_11<-MarR_2<-SIG+TM+TerC+TM	1
MORC-><-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-CheC<-CheC	1
MORC->Cluster408_2clades->Cluster820_2clades->?->?->?->?-><-LiaI-LiaF-TM+Toast-rack*	1
Mqo->?-><-?<-SIG+Toast-rack*<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*<-SIG+PADR-HTH<-?<-DUF4870	1
MTHFR->?->?-><-DUF1700-alpha-helical+Toast-rack*<-SIG+PADR-HTH	1
MTHFR->SIG+OmpA-beta-barrel->SIG+Toast-rack*->	1
MTHFR->SIG+OmpA-beta-barrel->SIG+Toast-rack*-><-ABC-ATPase	1
MTHFR->SIG+OmpA-beta-barrel->SIG+Toast-rack*->SIG+Beta-lactamase->	1
MTHFR->SIG+OmpA-beta-barrel->SIG+Toast-rack*->SIG+Beta-lactamase->?->?->PDH->?->SIG+Toast-rack*->?->?->?->EPSP_synthase->	1
MTHFR->SIG+OmpA-beta-barrel->SIG+Toast-rack*->SIG+OmpA-beta-barrel->SIG+Toast-rack*-><-ABC-ATPase	1
MuB-ATPase->?-><-Cluster357_4clades<-NtrC-AAA+FIS-HTH||?->PspA->PspB->PspC*->	1
N-OB-><-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TM+TM+TM<-DUF2491<-SIG+TM<-PspA*<-DUF2170	1
NACHT->?->?->?->?->Cluster814_2clades->?-><-?*	1
NAD_Gly3P_dh_N+NAD_Gly3P_dh_C-><-TerD+vWA-TerF-like<-?||Toast-rack*->?->ZNR+DUF2089-HTH->	1
NadA->?-><-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-REC+LuxR-HTH<-?||?-><-Cluster13_7clades<-PspA*	1
NadA-><-REC+LuxR-HTH<-SIG+TM+HISKIN<-Cluster13_7clades<-PspA*	1
NadA-><-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-REC+LuxR-HTH<-SIG+TM+HISKIN<-Cluster13_7clades<-PspA*	1
NDK->?->Ldh_1_N+Ldh_1_C->Aconitase+HC2->?-><-?||SIG+Toast-rack*->Iso_dh->	1
NDK-><-?<-?||?->?->?-><-PspC+LiaI-LiaF-TM+LiaI-LiaF-TM+TM+Toast-rack*<-SIG+PADR-HTH	1
NLPC+PspA*->SIG+TM+TM+TM+TM+TM->	1
NMO-><-SIG+Toast-rack*<-?<-adh_short	1
NMO->4HBT->?->SIG+PADR-HTH->Toast-rack*->DcuC->DcuC->?->FGGY_N+FGGY_C->	1
Ntox43+Snf7*->	1
NTP_transferase+Fucokinase->?->?->PSE-><-Glyco_transf_5+Glycos_transf_1||?->Methyltrans_SAM->?->SIG+Toast-rack*->	1
NTP_transferase+MannoseP_isomer->PGM_PMM_I+PGM_PMM_II+PGM_PMM_III+PGM_PMM_IV-><-?<-SIG+Toast-rack*	1
NtrC-AAA+FIS-HTH->?->?->?->PspC*->PADR-HTH->PspC+LiaI-LiaF-TM*-><-?<-?||?->TetR-HTH->?->SIG+BLBD->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->	1
NtrC-AAA+FIS-HTH-><-?||?->Cluster41_7clades->PspA*->	1
NtrC-AAA+FIS-HTH-><-zf-TFIIB<-GspA-ATPase<-SIG+TM<-SIG+TM+TM<-PspA*<-DUF2170	1
NtrC-AAA+FIS-HTH->PspA*->	1
NtrC-AAA+FIS-HTH->PspB*->	1
NUDIX->Rhodanese+Rhodanese-><-DUF59+ParA||?->?->?->HhH-GPD+EndIII_4Fe-2S-><-SIG+Toast-rack*<-Na_H_Exchanger	1
NUDIX->SUA->?->?-><-?<-?<-Mbetalac<-PspC+PspC+LiaI-LiaF-TM+Toast-rack*<-PADR-HTH	1
NUDIX->TM-><-PspC*	1
O6MGT-HTH->?->PspC->?*->?->?->?->HMA+TM+TM+TM+TM+TM+TM+TM+TM->	1
O6MGT-HTH-><-LiaI-LiaF-TM+Toast-rack*<-PspC	1
O6MGT-HTH-><-LiaI-LiaF-TM+Toast-rack*<-PspC||?->?->?->?->DHH->	1
O6MGT-HTH-><-LiaI-LiaF-TM+Toast-rack<-PspC+LiaI-LiaF-TM*	1
O6MGT-HTH->HhH-RADC->PspC+LiaI-LiaF-TM*->?->?->?->?->HMA+TM+TM+TM+TM+TM+TM+TM+TM->	1
ORC-AAA->PspA+SIGMA-HTH+PspA*->	1
OrfB_IS605+OrfB_Zn_ribbon->?->PspA*->PspA*->	1
OrfB_IS605+OrfB_Zn_ribbon-><-?<-SMC_ScpA<-SbcC+PspA+SbcC*<-Cluster75_2clades||GatB_N+GatB_Yqey->TOPC->PcrB->	1
Orn_Arg_deC_N+Orn_DAP_Arg_deC->?->?->?->RNA-Helicase->?->SIG+EP1+TM+HISKIN*->	1
Oxidored_FMN-><-?||PspA*->	1
Oxidored_FMN->PspA*->SIG+TM+TM+TM->DUF4178->	1
PadR->?-><-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*<-TraJ-RHH<-?<-Fer2_3+Fer4_8	1
PADR-HTH-><-DUF1700-alpha-helical+TM+TM+TM+TM*	1
PADR-HTH-><-DUF1700-alpha-helical+TM+TM+TM+TM*<-SIG+TM+TM+TM+TM+TM+ABC-ATPase<-SIG+TM+TM+TM+TM+TM+ABC-ATPase	1
PADR-HTH->DUF1700-alpha-helical*->?->?->ABC-ATPase->	1
PADR-HTH->DUF1700-alpha-helical*->DUF1700-alpha-helical+TM+TM+TM*->	1
PADR-HTH->DUF1700-alpha-helical*->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->	1
PADR-HTH->DUF1700-alpha-helical*->SIG+Toast-rack->	1
PADR-HTH->DUF1700-alpha-helical+Ferredoxin-RRM+Ferredoxin-RRM*->	1
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+TM+TM+Toast-rack*->	1
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->?->?->SIG+Toast-rack->	1
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*-><-?||SIG+Toast-rack->Cluster65_2clades->?->?-><-TM	1
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*-><-?<-PHP+ICAD+ComEA-HHH+N-OB	1
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*-><-Cluster1055_2clades	1
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->Cluster992_2clades->	1
PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack-><-TM	1
PADR-HTH->DUF1700-alpha-helical+PspC+PspC+LiaI-LiaF-TM+Toast-rack*-><-?<-SIGMA-HTH	1
PADR-HTH->DUF1700-alpha-helical+PspC+PspC+LiaI-LiaF-TM+Toast-Rack*-><-?<-SIGMA-HTH	1
PADR-HTH->DUF1700-alpha-helical+PspC+TM+TM+TM+TM+Toast-rack*->	1
PADR-HTH->DUF1700-alpha-helical+PspC+TM+TM+TM+Toast-rack+Toast-rack*->	1
PADR-HTH->DUF1700-alpha-helical+PTSEIIC+Toast-rack*->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM*->?->?->?->?->?->ABC-ATPase->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM*->?->?->?->UbE1+ACT->Cluster354_2clades->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM*-><-ATP-LIGASE+HhH-RADC+BRCT	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->?->?->MoxR-AAA->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->?->ABC-ATPase->?->ACET->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->?->MoxR-AAA->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?-><-?<-?<-REC+OmpR-HTH	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?-><-?<-REC+OmpR-HTH	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?-><-?||?-><-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?-><-REC+LuxR-HTH<-?||ABC-ATPase->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?-><-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->ABC-ATPase->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->SIG+Toast-rack->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*-><-?<-?<-ABC-ATPase	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->Cluster311_2clades-><-?||MoxR-AAA->PSE->?->?->?->Cluster354_2clades->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->?->?-><-Cluster160_2clades	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->?-><-?<-?<-?<-Cluster47_3clades	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack-><-?||?-><-Cluster429_2clades	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack-><-?<-REC+OmpR-HTH	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack-><-SIG+SUA	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->?->?->?-><-Cluster47_3clades	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->?->?->MuB-ATPase->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->?->MuB-ATPase->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*-><-?<-?||?-><-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*-><-ROK-HTH	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->SIG+Toast-rack->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->SIG+Toast-rack->?->?-><-?<-?<-REC+OmpR-HTH	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->SIG+Toast-rack->PspC->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM*->?->?-><-?<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM*-><-SIG+TM+TM+CBS	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM*-><-SIG+TM+TM+CBS<-SIG+TM+TM+CBS	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM*->ISOCOT->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM*->SIG+Toast-rack-><-?||?->ABC-ATPase->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->?->?->?->?->REC+LuxR-HTH->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->?->?-><-?||SIG+TM+TM+TM->SIG+TM+TM+TM->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->?-><-?<-?||?->?->?-><-Cluster333_2clades	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->?-><-?<-PAS+GGDEF+EAL<-?||?-><-?<-?||PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->?-><-ABC-ATPase+ABC-ATPase	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*-><-?<-?<-?||?-><-GNTR-HTH	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*-><-?<-ABC-ATPase<-?<-REC+OmpR-HTH	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*-><-?<-ACET	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*-><-?<-ACET<-TRPR-HTH+PBPI	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*-><-Cluster274_2clades	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->ABC-ATPase->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->ABC-ATPase+ABC-ATPase+SbcC->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->Cluster297_2clades->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->SIGMA-HTH->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM+TM*->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM+TM+TM*->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM*->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+Toast-rack*->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+Toast-rack*->?->?-><-?||A18+A18->	1
PADR-HTH->DUF1700-alpha-helical+TM+TM+Toast-rack+TM*->?-><-Cluster371_2clades<-HIN-HTH	1
PADR-HTH->DUF1700-alpha-helical+TM+Toast-rack*->	1
PADR-HTH->DUF1700-alpha-helical+TM+Toast-rack*->DUF1700-alpha-helical+TM+TM+TM+TM*->	1
PADR-HTH->DUF1700-alpha-helical+Toast-rack*->DUF1700-alpha-helical+TM+TM+TM*->?->SIG+Toast-rack->	1
PADR-HTH->DUF1700-alpha-helical+Toast-rack*->DUF1700-alpha-helical+TM+TM+TM*-><-?||SIG+Toast-rack->	1
PADR-HTH->PspC+LiaI-LiaF-TM*->	1
PADR-HTH->PspC+LiaI-LiaF-TM*->?->?->Cluster753_2clades->	1
PADR-HTH->PspC+LiaI-LiaF-TM+Toast-rack*->?->?-><-PEP-utilisers-C	1
PADR-HTH->PspC+LiaI-LiaF-TM+Toast-Rack*->?->?-><-SIG+PEP-utilisers-C	1
PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-rack*->Mbetalac->	1
PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-Rack+Toast-rack*->?->?->?->?->?->?->Cluster192_2clades->	1
PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-Rack+Toast-rack*-><-?||?->?->?-><-REC<-SIG+TM+TM+TM<-LiaI-LiaF-TM+Toast-rack*	1
PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-rack+Toast-rack*-><-?||Mbetalac->	1
PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-Rack+Toast-rack*-><-?<-?<-?||?->Cluster893_2clades->	1
PADR-HTH->PspC+PspC+LiaI-LiaF-TM+Toast-rack+Toast-rack*-><-HDRnase	1
