

       operon                                                                                                                                                                                                                                                                                                                                                               count   clade
2156   SIG+TM+TM+TM->SIG+DUF1190->?->CesT_Tir-DUF2170->PspA*->DUF2491->                                                                                                                                                                                                                                                                                                         1       1
2162   PALP->?->SIG+PBPB->SIG+TM+TM+TM+TM+TM->ABC-ATPase->?->CesT_Tir-DUF2170->PspA*->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->                                                                                                                                                                                                                                                      1       1
2164   CesT_Tir-DUF2170->PspA*->SIG+TM->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->?->||<-?<-SIG+Asparaginase_2                                                                                                                                                                                                                                                                        1       1
2165   SIG+DUF1190->SIG+TM+TM+TM->DUF2491->SIG+TM->PspA*->CesT_Tir-DUF2170->||<-?||?->||<-?<-?||SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->?->?->||<-YiaAB<-PspA*                                                                                                                                                                                                                    1       1
2166   CesT_Tir-DUF2170->PspA*->SIG+TM->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->?->||<-N-OB                                                                                                                                                                                                                                                                                         1       1
2167   CarboxypepD-reg-IG->CesT_Tir-DUF2170->PspA*->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->                                                                                                                                                                                                                                                                                        1       1
2168   PALP->?->SIG+PBPB->SIG+TM+TM+TM+TM+TM->ABC-ATPase->?->CesT_Tir-DUF2170->PspA*->PSE->SIG+TM+TM+TM->SIG+DUF1190->?->||<-TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                1       1
2169   PALP->?->SIG+PBPB->SIG+TM+TM+TM+TM+TM->ABC-ATPase->?->CesT_Tir-DUF2170->PspA*->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->?->||<-TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                            1       1
2170   CesT_Tir-DUF2170->PspA*->SIG+TM->DUF2491->                                                                                                                                                                                                                                                                                                                               1       1
2172   YiaAB->PspA*->                                                                                                                                                                                                                                                                                                                                                           1       1
2174   CesT_Tir-DUF2170->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->                                                                                                                                                                                                                                                                                                                 1       1
2175   CesT_Tir-DUF2170->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->||<-ABC-ATPase                                                                                                                                                                                                                                                                                                   1       1
2178   CesT_Tir-DUF2170->PspA*->?->?->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->                                                                                                                                                                                                                                                                                                      1       1
2179   PspA*->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->                                                                                                                                                                                                                                                                                                                              1       1
2182   SIG+TM+TM+TM+TM+TM+TM+TM->TM+TM+TM+TM+TM+TM+TM->CesT_Tir-DUF2170->PspA*->||<-?||?->RHH->                                                                                                                                                                                                                                                                                 1       1
2183   PspA*->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->?->Acyl-CoA_dh_M+Acyl-CoA_dh_1->                                                                                                                                                                                                                                                                                              1       1
2184   CesT_Tir-DUF2170->PspA*->SIG+TM->?->DUF2491->?->SIG+TM+TM+TM->SIG+DUF1190->                                                                                                                                                                                                                                                                                              1       1
2186   SIG+TM+TM->||<-Cluster78_2clades||PspA*->TM+TM+TM+TM->||<-?<-DUF1611_N+DUF1611||?->||<-?<-Cluster344_2clades                                                                                                                                                                                                                                                             1       1
2187   PspA*->?->||<-?<-DUF1611_N+DUF1611<-?<-Cluster344_2clades<-SIG+TM                                                                                                                                                                                                                                                                                                        1       1
2188   <-CTP_synth_N+GATase<-Cluster78_2clades||PspA*->||<-?||TM+TM+TM+TM->||<-TM+TM+TM+TM||TM+TM+TM+TM->?->||<-TM+TM+TM+TM                                                                                                                                                                                                                                                     1       1
2189   Mbetalac->||<-?<-?<-CTP_synth_N+GATase<-?<-?<-Cluster78_2clades||PspA*->||<-?<-?<-TM+TM+TM+TM                                                                                                                                                                                                                                                                            1       1
2190   <-CTP_synth_N+GATase<-Cluster78_2clades||PspA*->TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                            1       1
2191   SIG+TM+TM->||<-Cluster78_2clades||PspA*->                                                                                                                                                                                                                                                                                                                                1       1
2192   <-Cluster78_2clades||PspA*->TM+TM+TM+TM->||<-?<-DUF1611_N+DUF1611<-?<-Cluster344_2clades                                                                                                                                                                                                                                                                                 1       1
2193   SIG+TM+TM->SIG+TM+TM->||<-Cluster78_2clades||PspA*->TM+TM+TM+TM->||<-?<-DUF1611_N+DUF1611<-?<-Cluster344_2clades<-SIG+TM                                                                                                                                                                                                                                                 1       1
2194   <-Cluster78_2clades||PspA*->TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                                1       1
2195   <-CTP_synth_N+GATase||PspA*->||<-?||?->?->||<-AIRS+AIRS_C                                                                                                                                                                                                                                                                                                                1       1
2196   Mbetalac->||<-?<-?<-CTP_synth_N+GATase<-?||PspA*->                                                                                                                                                                                                                                                                                                                       1       1
2197   Mbetalac->||<-?<-?<-?<-CTP_synth_N+GATase<-Cluster78_2clades||PspA*->TM+TM+TM+TM->||<-?<-ParA-Soj-PloopNTPase                                                                                                                                                                                                                                                            1       1
2198   PspA*->||<-?<-?||TM+TM+TM+TM->TM+TM+TM+TM->TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                 1       1
2199   NadA->FAD_binding_2+Succ_DH_flav_C->?->PspA*->                                                                                                                                                                                                                                                                                                                           1       1
2201   <-REC+GerE-HTH<-?<-?<-?||?->PspA*->                                                                                                                                                                                                                                                                                                                                      1       1
2203   PspA*->Psp-AA->SIG+TM+TM+HisKin->REC+GerE-HTH->||<-?<-NadA                                                                                                                                                                                                                                                                                                               1       1
2204   PspA*->Psp-AA->SIG+TM+TM+HisKin->REC+GerE-HTH->||<-?||SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                             1       1
2206   REC+GerE-HTH->?->?->PspA*->                                                                                                                                                                                                                                                                                                                                              1       1
2207   SIG+TM+TM+TM+TM+ABC-ATPase->Cluster342_2clades->YbjQ_1->YbjQ_1+YbjQ_1->PspA*->                                                                                                                                                                                                                                                                                           1       1
2208   YbjQ_1->YbjQ_1+YbjQ_1->PspA*->tRNA->||<-?<-CMD                                                                                                                                                                                                                                                                                                                           1       1
2209   Cluster342_2clades->YbjQ_1->YbjQ_1+YbjQ_1->PspA*->tRNA->||<-?<-CMD                                                                                                                                                                                                                                                                                                       1       1
2210   Cluster342_2clades->YbjQ_1->YbjQ_1+YbjQ_1->PspA*->                                                                                                                                                                                                                                                                                                                       1       1
2212   PspA*->YiaAB->?->||<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase                                                                                                                                                                                                                                                                                                                      1       1
2213   PspA*->YiaAB->?->?->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                                                                             1       1
2215   PspA*->YiaAB->?->||<-SIG+TM+HAMP+HISKIN<-REC+GerE-HTH                                                                                                                                                                                                                                                                                                                    1       1
2216   <-TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?||PspA*->YiaAB->                                                                                                                                                                                                                                                                                                                 1       1
2219   FAD-NAD-dep-oxidoreductase->PspA*->                                                                                                                                                                                                                                                                                                                                      1       1
2220   TP_methylase->PspA*->                                                                                                                                                                                                                                                                                                                                                    1       1
2221   PspA*->||<-?||?->SIG+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                                    1       1
2223   PspA*->DUF4178->?->SIG+TM+TM+TM+TM+TM+TM+TM->TM+TM+TM+TM+TM+TM+TM->?->UPF0054->                                                                                                                                                                                                                                                                                          1       1
2224   CesT_Tir->PspA*->DUF4178->?->SIG+TM+TM+TM+TM+TM+TM+TM->TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                            1       1
2226   CesT_Tir->PspA*->DUF4178->?->SIG+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                  1       1
2228   CesT_Tir->PspA*->DUF4178->SIG+TM+TM+TM+TM+TM+TM+TM->?->?->TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                         1       1
2229   SIG+TM->CesT_Tir->PspA*->DUF4178->                                                                                                                                                                                                                                                                                                                                       1       1
2231   TM+TM+TM+TM+TM+TM+TM+TM+TM->ABC-ATPase->?->||<-?||RHH->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->                                                                                                                                                                                                                                                                            1       1
2234   RHH->PspA*->SIG+TM+TM->||<-?||SIG+Band_7+DUF5401->                                                                                                                                                                                                                                                                                                                       1       1
2235   PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                                     1       1
2236   PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->?->DNAJ->                                                                                                                                                                                                                                                                                                                          1       1
2237   PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->DNAJ->                                                                                                                                                                                                                                                                                                                             1       1
2240   PspA*->?->?->SIG+TCAD2->                                                                                                                                                                                                                                                                                                                                                 1       1
2242   PspA*->YiaAB->Acyltransferase->SIG+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                1       1
2243   SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->?->?->?->?->PspA*->YiaAB->Acyltransferase->SIG+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                              1       1
2244   PspA*->TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->||<-?||?->TM+TM+TM+TM+TM+TM+TM+TM+TM->ABC-ATPase->                                                                                                                                                                                                                                                                     1       1
2246   <-ACT<-?||PspA*->?->?->||<-REC+GerE-HTH                                                                                                                                                                                                                                                                                                                                  1       1
2247   PspA*->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                                                                    1       1
2249   PspA*->?->?->?->||<-?||?->||<-?<-FAD_binding_2+Succ_DH_flav_C                                                                                                                                                                                                                                                                                                            1       1
2251   PspF-NtrC-AAA+FIS-HTH->PspA*->                                                                                                                                                                                                                                                                                                                                           1       1
2252   PspA*->PspA*->PspB*->PspC+PspB*->                                                                                                                                                                                                                                                                                                                                        1       1
2253   PspA*->PspA*->PspB*->PspC+PspB*->Phageshock_PspD->                                                                                                                                                                                                                                                                                                                       1       1
2254   PspA*->PspB+PspC*->                                                                                                                                                                                                                                                                                                                                                      1       1
2255   PspA*->PspA*->ZNR+TM->SIG+TPM_phosphatase+TM->Band_7+ZNR->                                                                                                                                                                                                                                                                                                               1       1
2256   TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->PspA*->||<-?<-?||TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->?->||<-?||?->||<-SIG+TM+TM+TM+TM+ABC-ATPase                                                                                                                                                                                                                             1       1
2257   PspA*->?->||<-?<-?<-Cluster344_2clades<-?||?->?*->                                                                                                                                                                                                                                                                                                                       1       1
2258   <-CarboxypepD-reg-IG||?->?->?->?->?->?->PspA*->                                                                                                                                                                                                                                                                                                                          1       1
2259   SIG+DUF3105->?->?->PspA*->                                                                                                                                                                                                                                                                                                                                               1       1
2260   PspB*->PspC*->                                                                                                                                                                                                                                                                                                                                                           1       1
2262   <-PspF-NtrC-AAA+FIS-HTH<-?<-?||?->?->PspB*->                                                                                                                                                                                                                                                                                                                             1       1
2263   PspB*->SIG+PspB*->||<-?<-?<-?<-?<-?||TM->                                                                                                                                                                                                                                                                                                                                1       1
2264   PspC*->PspC+TM+TM*->                                                                                                                                                                                                                                                                                                                                                     1       1
2266   Aldedh->?->?->?->?->?->?->PspC*->                                                                                                                                                                                                                                                                                                                                        1       1
2267   Aldedh->Aldedh->PspC*->                                                                                                                                                                                                                                                                                                                                                  1       1
2269   PspC*->||<-?||SIG+TM->                                                                                                                                                                                                                                                                                                                                                   1       1
2270   CBS->?->PspC*->                                                                                                                                                                                                                                                                                                                                                          1       1
2272   PspC*->?->||<-?<-?<-?<-?<-?||SIG+tRNA-synt_2d->                                                                                                                                                                                                                                                                                                                          1       1
2273   PspC*->||<-?<-?||?->||<-?<-SIG+tRNA-synt_2d                                                                                                                                                                                                                                                                                                                              1       1
2275   PspC*->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||NAD_binding_2+NAD_binding_11->                                                                                                                                                                                                                                                                                                   1       1
2276   PspC*->?->tRNA->?->?->SIG+HAMP+HISKIN->                                                                                                                                                                                                                                                                                                                                  1       1
2278   REC+GerE-HTH->?->PSE->PspC*->||<-?||REC+GerE-HTH->SIG+HAMP+HISKIN->                                                                                                                                                                                                                                                                                                      1       1
2282   SIG+LemA->?->?->PspC*->                                                                                                                                                                                                                                                                                                                                                  1       1
2283   HMA->?->||<-?||?->?->?->||<-?||PspC*->                                                                                                                                                                                                                                                                                                                                   1       1
2284   PspC*->?->?->sGTP->                                                                                                                                                                                                                                                                                                                                                      1       1
2285   tRNA-synt_1c->||<-?<-?<-?<-?<-?||PspC*->                                                                                                                                                                                                                                                                                                                                 1       1
2286   PspC*->PSE->LiaI-LiaF-TM+Toast-rack->                                                                                                                                                                                                                                                                                                                                    1       1
2287   PspC*->?->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                                                                 1       1
2289   PspC*->?->?->?->?->LACI-HTH+PBPI->                                                                                                                                                                                                                                                                                                                                       1       1
2290   <-REC+GerE-HTH||SIG+HAMP+HISKIN->||<-?||?->||<-?<-?||PspC*->                                                                                                                                                                                                                                                                                                             1       1
2291   PspC*->?->||<-tRNA<-?<-?<-Ferredoxin-RRM                                                                                                                                                                                                                                                                                                                                 1       1
2292   PspC*->||<-?<-?||SIG+TM+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                           1       1
2293   SIG+TM+TM+TM+TM+TM+TM+TM+TM->?->PspC*->                                                                                                                                                                                                                                                                                                                                  1       1
2294   PspC*->||<-PSE||?->||<-?||LRP-HTH->                                                                                                                                                                                                                                                                                                                                      1       1
2297   <-PGM_PMM_I+PGM_PMM_II+PGM_PMM_III+PGM_PMM_IV<-?||?->PspC*->                                                                                                                                                                                                                                                                                                             1       1
2298   <-PGM_PMM_I+PGM_PMM_II+PGM_PMM_III+PGM_PMM_IV||?->||<-?||?->PspC*->                                                                                                                                                                                                                                                                                                      1       1
2300   PspC*->?->?->?->?->?->||<-?||ABhydrolase->                                                                                                                                                                                                                                                                                                                               1       1
2304   REC+GerE-HTH->SIG+HAMP+HISKIN*->?->?->?->PspC*->                                                                                                                                                                                                                                                                                                                         1       1
2305   SIG+HAMP+HISKIN*->?->||<-?<-?<-?||?->||<-?||?->?->?->||<-?<-?<-?<-?<-PspC*                                                                                                                                                                                                                                                                                               1       1
2306   REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-?<-?<-PspC*                                                                                                                                                                                                                                                                                                                 1       1
2307   PspC*->?->DUF72->                                                                                                                                                                                                                                                                                                                                                        1       1
2309   PspC*->?->?->?->?->SIG+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                                  1       1
2310   PspC*->?->||<-?||PspC*->                                                                                                                                                                                                                                                                                                                                                 1       1
2312   NAD_Gly3P_dh_N+NAD_Gly3P_dh_C->||<-?||PspC*->                                                                                                                                                                                                                                                                                                                            1       1
2314   <-LACI-HTH+PBPI||?->?->PspC*->SIG+TM+TM+TM->                                                                                                                                                                                                                                                                                                                             1       1
2316   PspC*->?->SIG+TM+TM+TM->?->?->NAD_Gly3P_dh_N+NAD_Gly3P_dh_C->?->PGM_PMM_I+PGM_PMM_II+PGM_PMM_III+PGM_PMM_IV->                                                                                                                                                                                                                                                            1       1
2323   PspC*->||<-?||SIG+TM+TM+TM->                                                                                                                                                                                                                                                                                                                                             1       1
2329   <-SIG+TM+TM+TM+TM+TM+TM<-?<-?||?->?->PspC*->                                                                                                                                                                                                                                                                                                                             1       1
2332   Cluster110_2clades->PspC*->                                                                                                                                                                                                                                                                                                                                              1       1
2335   ABhydrolase->PspC*->?->?->?->||<-?||?->?->||<-REC+GerE-HTH                                                                                                                                                                                                                                                                                                               1       1
2337   sf+TM+TM->?->ABhydrolase->||<-?||?->PspC*->                                                                                                                                                                                                                                                                                                                              1       1
2339   PspC*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                            1       1
2340   PspC*->||<-?||?->?->?->tRNA-synt_1c->                                                                                                                                                                                                                                                                                                                                    1       1
2345   PspC*->PADR-HTH->PspC+TM+TM+TM*->                                                                                                                                                                                                                                                                                                                                        1       1
2346   PspC*->SIG+TM+TM+TM->?->?->NAD_Gly3P_dh_N+NAD_Gly3P_dh_C->NTP_transferase->?->PGM_PMM_I+PGM_PMM_II+PGM_PMM_III+PGM_PMM_IV->                                                                                                                                                                                                                                              1       1
2347   SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->||<-?<-?||?->PspC*->                                                                                                                                                                                                                                                                                                         1       1
